정류장,호선_개수,주변_편의시설_개수,노선,위도,경도,주변_장애인시설_개수,지역구,8월_장애인_승객수,9월_장애인_승객수,10월_장애인_승객수,평균_장애인_승객수
공릉(서울과학기술대),1,20,7,37.625742,127.072896,0,노원구,11487,11970,12739,12065.333333333334
노원,2,108,4,37.65627,127.063276,4,노원구,37141,38617,40331,38696.333333333336
당고개,1,9,4,37.670272,127.079066,1,노원구,12813,13692,13692,13399.0
마들,1,32,7,37.66494,127.057675,0,노원구,12208,12322,12997,12509.0
봉화산(서울의료원),1,55,6,37.617283,127.091401,0,노원구,7062,7203,7715,7326.666666666667
상계,1,47,4,37.660878,127.073572,4,노원구,21174,22762,22762,22232.666666666668
석계,2,19,6,37.614872,127.065595,0,노원구,11305,11654,12336,11765.0
수락산,1,48,7,37.67785,127.055315,3,노원구,13802,13899,14818,14173.0
중계,1,27,7,37.644583,127.064303,12,노원구,19481,20322,21216,20339.666666666668
태릉입구,2,18,7,37.618294,127.075397,0,노원구,11799,11902,12796,12165.666666666666
하계,1,42,7,37.636352,127.06799,2,노원구,18451,19012,20352,19271.666666666668
화랑대(서울여대입구),1,13,6,37.620064,127.084689,2,노원구,6908,7325,7743,7325.333333333333
구로디지털단지,1,139,2,37.485266,126.901401,2,영등포구,32150,31781,34766,32899.0
국회의사당,1,8,9,37.528105,126.917874,0,영등포구,10021,10912,10305,10412.666666666666
당산,2,20,2,37.534946,126.902767,0,영등포구,18657,19145,20678,19493.333333333332
도림천,1,11,2,37.514287,126.882768,1,영등포구,1037,1151,1158,1115.3333333333333
문래,1,15,2,37.517933,126.89476,0,영등포구,13292,12863,13369,13174.666666666666
보라매,2,23,7,37.499872,126.920428,4,영등포구,4943,5051,5424,5139.333333333333
샛강,2,12,9,37.517274,126.928422,0,영등포구,3116,3181,3537,3278.0
선유도,1,14,9,37.53802,126.893525,0,영등포구,4505,4360,4585,4483.333333333333
신길,2,16,5,37.517623,126.914839,1,영등포구,2555,2555,2670,2593.3333333333335
신풍,1,26,7,37.50008,126.90993,2,영등포구,10781,10706,11483,10990.0
여의나루,1,7,5,37.527098,126.932901,0,영등포구,5307,5646,6637,5863.333333333333
여의도,2,8,5,37.521747,126.924357,0,영등포구,19485,18835,20002,19440.666666666668
영등포구청,2,28,2,37.525706,126.89661,0,영등포구,20875,21542,22713,21710.0
영등포시장,1,28,5,37.522669,126.905139,1,영등포구,10021,10479,11271,10590.333333333334
구산,1,50,6,37.611377,126.91727,3,은평구,7834,7719,8287,7946.666666666667
구파발,1,21,3,37.636763,126.918821,0,은평구,17749,18688,18688,18375.0
녹번,1,22,3,37.600927,126.935756,0,은평구,10734,11809,11809,11450.666666666666
독바위,1,13,6,37.618456,126.933031,0,은평구,2806,2927,3092,2941.6666666666665
디지털미디어시티,4,20,6,37.576108,126.901391,0,은평구,8742,8942,9667,9117.0
불광,2,36,3,37.610553,126.92982,0,은평구,23426,24976,24968,24456.666666666668
새절(신사),1,36,6,37.591148,126.913629,0,은평구,12692,12809,13863,13121.333333333334
역촌,1,29,6,37.606021,126.922744,1,은평구,5238,5021,5514,5257.666666666667
연신내,2,39,3,37.619229,126.921038,2,은평구,34959,37574,37574,36702.333333333336
응암,1,42,6,37.598605,126.915577,6,은평구,17652,18080,19266,18332.666666666668
증산(명지대앞),1,37,6,37.583876,126.909645,2,은평구,11401,11432,12334,11722.333333333334
금호,1,8,3,37.548034,127.015872,0,중구,6167,6907,6907,6660.333333333333
